stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
7013642,1815,"Middlebrook Pk EB and Citico St","",35.965034,-83.942417,,,0,,,0,,
7013645,1818,"17th St SB and Dale Ave","",35.963278,-83.936146,,,0,,,0,,
7014082,2579,"Forest Park SB before Kingston Pike","",35.941621,-83.983003,,,0,,,0,,
7014606,1835,"Middlebrook Pk EB and Weisgarber Rd ","",35.949881,-84.015521,,,0,,,0,,
7015084,1710,"Central St NB and 4th Ave","",35.97457,-83.92212,,,0,,,0,,
7015085,2786,"Central St NB after Broadway","",35.976525,-83.9241,,,0,,,0,,
7015086,1468,"Central St and Bearden Pl","",35.978184,-83.925786,,,0,,,0,,
7015087,1276,"Central St NB and Dameron Ave","",35.978945,-83.926593,,,0,,,0,,
7015088,1050,"Central St NB and Baxter Ave","",35.981062,-83.928749,,,0,,,0,,
7015089,1294,"Central St NB and Scott Ave","",35.983196,-83.931087,,,0,,,0,,
7015091,1941,"Central St NB and Emerald Ave","",35.985565,-83.934103,,,0,,,0,,
7015092,1942,"Central St NB and Churchwell Ave","",35.986836,-83.935743,,,0,,,0,,
7015094,1944,"Central St NB and Springdale Ave","",35.990078,-83.939879,,,0,,,0,,
7015095,1293,"Central St NB and Morelia Ave","",35.991361,-83.941536,,,0,,,0,,
7015096,1257,"Central St NB at Sunshine Industry","",35.992579,-83.945946,,,0,,,0,,
7015097,1945,"Bruhin Rd NB and Ferguson St","",35.995701,-83.949315,,,0,,,0,,
7015098,1245,"Bruhin Rd and Breda Dr","",36.002486,-83.954075,,,0,,,0,,
7015099,1946,"Dutch Valley Dr WB and Coster Rd","",36.00345,-83.955578,,,0,,,0,,
7015100,1947,"Central St NB and Woodlawn Dr","",36.004043,-83.961604,,,0,,,0,,
7015105,1952,"Clinton Hwy NB after Merchant Dr","",36.004548,-83.982485,,,0,,,0,,
7015106,2535,"Clinton Hwy NB after McClain Dr","",36.005981,-83.986988,,,0,,,0,,
7015107,2527,"Clinton HWY NB and Dogwood MHP","",36.007633,-83.992193,,,0,,,0,,
7015109,1260,"Clinton Hwy NB and Murray Dr","",36.008919,-83.999403,,,0,,,0,,
7015111,2626,"Clinton Hwy NB and 6340 Clinton Hwy","",36.008957,-84.005906,,,0,,,0,,
7015112,1954,"Clinton Hwy NB and Cherrybrook Dr","",36.007058,-84.016576,,,0,,,0,,
7015113,1956,"Schaad Rd WB Midblock before Pleasant Ridge","",36.004873,-84.020273,,,0,,,0,,
7015114,1958,"Schaad Rd WB and Pleasant Ridge Rd","",36.002538,-84.023826,,,0,,,0,,
7015115,1959,"Pleasant Ridge Rd NB and Wal-Mart","",36.003513,-84.025417,,,0,,,0,,
7015117,1962,"Old Callahan Dr EB and Clinton Hwy","",36.006701,-84.028311,,,0,,,0,,
7015118,1071,"Northwest Crossing","",36.006945,-84.026427,,,0,,,0,,
7015860,1964,"Clinton Hwy SB before Schaad Rd","",36.006823,-84.021813,,,0,,,0,,
7015861,1965,"Clinton Hwy SB and Aquoni Dr","",36.006773,-84.017963,,,0,,,0,,
7015862,1966,"Clinton Hwy SB and 6325 block","",36.008556,-84.006995,,,0,,,0,,
7015864,1261,"Clinton Hwy SB and Murray Dr","",36.008707,-83.99966,,,0,,,0,,
7015866,1967,"Clinton Hwy SB and Treemont Dr","",36.006896,-83.990687,,,0,,,0,,
7015867,1268,"Clinton Hwy SB and McClain Dr","",36.005712,-83.98693,,,0,,,0,,
7015875,1975,"Central Ave Pk EB and Coster Rd","",36.003118,-83.955763,,,0,,,0,,
7015876,1246,"Bruhin Rd SB and Breda Dr","",36.002798,-83.954088,,,0,,,0,,
7015877,1291,"Bruhin Rd SB after Chickamauqa Ave","",35.995035,-83.94888,,,0,,,0,,
7015880,1978,"Central St SB and Morelia Ave","",35.991522,-83.941899,,,0,,,0,,
7015881,1979,"Central St SB and Springdale Ave","",35.99026,-83.940261,,,0,,,0,,
7015883,1981,"Central St SB and Churchwell Ave","",35.987074,-83.936209,,,0,,,0,,
7015884,1982,"Central St SB and Emerald Ave","",35.985654,-83.934388,,,0,,,0,,
7015885,1983,"Central St SB and Scott Ave","",35.983291,-83.931372,,,0,,,0,,
7015886,2681,"Central St SB and Anderson Ave NE","",35.98168,-83.929528,,,0,,,0,,
7015887,1984,"Central St SB and Baxter Ave","",35.980866,-83.928712,,,0,,,0,,
7015888,1985,"Central St SB and Dameron Ave","",35.978856,-83.926704,,,0,,,0,,
7015889,1439,"Central St and Bernard Ave","",35.977937,-83.92573,,,0,,,0,,
7015891,1986,"Central St SB and 4th Ave","",35.974631,-83.922306,,,0,,,0,,
7016471,2201,"Gill Ave WB and 4th Ave","",35.979268,-83.917571,,,0,,,0,,
7016473,2200,"Gill Ave WB and Broadway St","",35.979505,-83.923063,,,0,,,0,,
7016474,2202,"Gill St WB and Stewart St","",35.9796,-83.925553,,,0,,,0,,
7016475,2230,"Alexander St NB and Baxter Ave","",35.981271,-83.927336,,,0,,,0,,
7016476,2204,"Alexander St NB and Anderson Ave","",35.982341,-83.928403,,,0,,,0,,
7016477,1009,"Guy B. Love Towers S","",35.985142,-83.925172,,,0,,,0,,
7016478,2206,"Anderson NB and Glenwood Ave","",35.986807,-83.924895,,,0,,,0,,
7016480,2674,"Broadway Shopping Center near Kroger","",35.992505,-83.921418,,,0,,,0,,
7016481,2207,"Woodland Ave WB at Fulton HS","",35.993046,-83.922423,,,0,,,0,,
7016483,2208,"Glenwood Ave NB and Oak Hill Ave","",35.990722,-83.929737,,,0,,,0,,
7016484,1011,"Oak Hill NB and Huron Street","",35.992107,-83.928239,,,0,,,0,,
7016485,2209,"Huron St NB and Oglewood Ave","",35.994107,-83.93053,,,0,,,0,,
7016486,2210,"Oglewood Ave WB and Harvey St","",35.992264,-83.932933,,,0,,,0,,
7016488,2212,"Harvey St NB and Morelia Ave","",35.995183,-83.937149,,,0,,,0,,
7016489,2213,"Pershing St NB and Atlantic Ave","",35.997542,-83.936464,,,0,,,0,,
7016492,2216,"Chicamauga Ave EB and Pershing St","",35.999878,-83.937221,,,0,,,0,,
7016773,2221,"Morelia Ave WB and Harvey St","",35.995314,-83.937243,,,0,,,0,,
7016775,2418,"Harvey St SB and Oglewood Ave","",35.992052,-83.933273,,,0,,,0,,
7016776,2223,"Oglewood Ave EB and Huron St","",35.994062,-83.930724,,,0,,,0,,
7016778,2224,"Oak Hill Ave WB and Glenwood Ave","",35.990874,-83.929799,,,0,,,0,,
7016779,2225,"Glenwood Ave SB and Woodland Ave","",35.988738,-83.927314,,,0,,,0,,
7016780,2226,"Woodland Ave EB after Freemont Pl","",35.993394,-83.921927,,,0,,,0,,
7016781,1925,"Broadway SB and Glenwood Ave","",35.986279,-83.921523,,,0,,,0,,
7016782,1015,"Guy B. Love Towers N","",35.985323,-83.925157,,,0,,,0,,
7016784,2229,"Alexander St SB and Baxter Ave","",35.981533,-83.927726,,,0,,,0,,
7016785,2203,"Alexander St SB and Stewart St","",35.979668,-83.925842,,,0,,,0,,
7016786,2231,"Gill Ave EB and Broadway St","",35.97948,-83.923698,,,0,,,0,,
7016788,2233,"Gill Ave EB and Hall of Fame Dr","",35.979165,-83.917546,,,0,,,0,,
7017167,1308,"Broadway NB and Central St","",35.975862,-83.923648,,,0,,,0,,
7017168,1904,"Broadway NB and Gill Ave","",35.97939,-83.923383,,,0,,,0,,
7017169,1309,"Broadway NB and Caswell Ave","",35.981317,-83.923192,,,0,,,0,,
7017170,1905,"Broadway NB and Wells Ave","",35.984241,-83.922108,,,0,,,0,,
7017171,1907,"Broadway NB and Glenwood Ave","",35.986024,-83.921463,,,0,,,0,,
7017172,1076,"Broadway Shopping Center on McCroskey Ave","",35.992305,-83.920106,,,0,,,0,,
7017174,1908,"Broadway NB and Washington Pike","",35.995791,-83.922163,,,0,,,0,,
7017175,2777,"Broadway NB and Oglewood Ave","",35.997161,-83.923999,,,0,,,0,,
7017177,1318,"Broadway NB and Chickamauga Ave","",36.001399,-83.925734,,,0,,,0,,
7017178,1319,"Broadway NB and Walker Blvd","",36.005326,-83.926726,,,0,,,0,,
7017179,1910,"Broadway NB and Powers St","",36.008857,-83.925575,,,0,,,0,,
7017180,1078,"Northgate Shopping Center E","",36.012974,-83.923814,,,0,,,0,,
7017181,1912,"Broadway NB after Tazewell Pike","",36.023356,-83.925569,,,0,,,0,,
7017182,1323,"Broadway after Sanders","",36.026269,-83.927134,,,0,,,0,,
7017183,1324,"Broadway NB and Highland Dr","",36.029494,-83.928613,,,0,,,0,,
7017185,2350,"Broadway NB and Gibbs Dr","",36.033025,-83.930395,,,0,,,0,,
7017186,1913,"Broadway NB and Hotel Ave","",36.035767,-83.932248,,,0,,,0,,
7017187,1328,"Broadway NB and Jane Allen Dr","",36.039301,-83.929931,,,0,,,0,,
7017190,1916,"Garden Dr EB and Rosebay Rd","",36.043461,-83.924328,,,0,,,0,,
7017191,1081,"Garden Dr EB and Jacksboro Pk","",36.044794,-83.92198,,,0,,,0,,
7017192,1330,"Jacksboro Pike SB and Nichols Rd","",36.041317,-83.921487,,,0,,,0,,
7017193,1213,"Essary Dr after Jacksboro Pk","",36.038669,-83.922225,,,0,,,0,,
7018076,1750,"Essary Dr WB and Stanton Rd","",36.036317,-83.927186,,,0,,,0,,
7018077,1751,"Essary Dr WB and Lynnwood Dr","",36.034983,-83.93061,,,0,,,0,,
7018078,2475,"Broadway SB Past Cedar Lane","",36.033809,-83.931402,,,0,,,0,,
7018079,1920,"Broadway SB and Highland Dr","",36.030334,-83.929247,,,0,,,0,,
7018081,1922,"Broadway SB after Adair Dr","",36.024339,-83.926575,,,0,,,0,,
7018082,1082,"Northgate Shopping Center W","",36.013081,-83.924022,,,0,,,0,,
7018083,1923,"Broadway SB and Karnes Ave","",36.009139,-83.925595,,,0,,,0,,
7018084,1924,"Broadway SB and Fairfax Ave","",36.006471,-83.926809,,,0,,,0,,
7018086,1342,"Broadway SB and Chickamauga Ave","",36.001584,-83.926082,,,0,,,0,,
7018087,1344,"Broadway SB and Oglewood Ave","",35.997262,-83.924314,,,0,,,0,,
7018088,1347,"Broadway SB and Lawson Ave","",35.995484,-83.922173,,,0,,,0,,
7018089,1083,"Broadway Shopping Center E","",35.992795,-83.920501,,,0,,,0,,
7018090,1349,"Broadway SB and Wells Ave","",35.984129,-83.922331,,,0,,,0,,
7018091,1926,"Broadway SB and Caswell Ave","",35.98143,-83.923326,,,0,,,0,,
7018092,1350,"Broadway SB and Gill Ave","",35.979619,-83.923548,,,0,,,0,,
7018093,1354,"Broadway SB and Central Ave","",35.976367,-83.92375,,,0,,,0,,
7018094,1251,"Broadway SB and 5th Ave","",35.972722,-83.924053,,,0,,,0,,
7018745,2002,"Gillespie Ave EB and 8th Ave","",35.990306,-83.913405,,,0,,,0,,
7018746,2003,"8th Ave NB and Cecil Ave","",35.992883,-83.914911,,,0,,,0,,
7018747,2004,"Nadine St NB and McCroskey Ave","",35.994641,-83.915569,,,0,,,0,,
7018749,1447,"Nadine St NB and Washington Pk","",35.997946,-83.917937,,,0,,,0,,
7018750,2007,"Washington Pike EB after Newman St","",36,-83.91452,,,0,,,0,,
7018752,2537,"Washington Pike EB and Teeple St","",36.004254,-83.909716,,,0,,,0,,
7018753,2009,"Washington Pike EB and Bridalwood Dr","",36.006424,-83.906896,,,0,,,0,,
7018755,2011,"Washington Pike EB and Hale Rd","",36.011577,-83.898909,,,0,,,0,,
7018756,2012,"Washington Pike EB and Knox Ln","",36.014122,-83.895065,,,0,,,0,,
7018757,2013,"Washington Pk EB and Cross Valley Rd","",36.016009,-83.891761,,,0,,,0,,
7018758,1087,"Washington Pk EB and Alice Bell Rd","",36.01855,-83.887303,,,0,,,0,,
7018759,2014,"Washington Pk EB and Washington Ridge","",36.021202,-83.884352,,,0,,,0,,
7018760,2015,"Millertown Pike EB and Spring Hill Rd","",36.026146,-83.87572,,,0,,,0,,
